what,where,why,how,when,text,id
sniff,plaintext network credentials,,,,Pupy can sniff plaintext network credentials and use NBNS Spoofing to poison name services., T1171 
use,NBNS Spoofing,poison name services,,,Pupy can sniff plaintext network credentials and use NBNS Spoofing to poison name services., T1171 
,,,,,Pupy can sniff plaintext network credentials and use NBNS Spoofing to poison name services., T1171 
poison,name services,,,,Pupy can sniff plaintext network credentials and use NBNS Spoofing to poison name services., T1171 
used,Responder,poison name services,,,Responder is used to poison name services to gather hashes and credentials from systems within a local network., T1171 
poison,name services,gather hashes credentials systems within local network,,,Responder is used to poison name services to gather hashes and credentials from systems within a local network., T1171 
gather,hashes credentials,,,,Responder is used to poison name services to gather hashes and credentials from systems within a local network., T1171 
uses,crontab,,,,Exaramel for Linux uses crontab for persistence if it does not have root privileges., T1168 
used,cron job,,,,Janicab used a cron job for persistence on Mac devices., T1168 
uses,cron tasks,ensure persistence,,,SpeakUp uses cron tasks to ensure persistence., T1168 
ensure,persistence,,,,SpeakUp uses cron tasks to ensure persistence., T1168 
create,cronjob,,,,Xbash can create a cronjob for persistence if it determines it is on a Linux system., T1168 
determines,,,,,Xbash can create a cronjob for persistence if it determines it is on a Linux system., T1168 
adds,An APT28 loader Trojan,establish persistence,,,An APT28 loader Trojan adds the Registry key  UserInitMprLogonScript to establish persistence., T1037 
establish,persistence,,,,An APT28 loader Trojan adds the Registry key  UserInitMprLogonScript to establish persistence., T1037 
added,persistence,,registering file name next stage malware UserInitMprLogonScript,,Cobalt Group has added persistence by registering the file name for the next stage malware under UserInitMprLogonScript., T1037 
registering,file name next stage malware,,,,Cobalt Group has added persistence by registering the file name for the next stage malware under UserInitMprLogonScript., T1037 
registered,Windows shell script,establish persistence,,,JHUHUGIT has registered a Windows shell script under the Registry key  UserInitMprLogonScript to establish persistence., T1037 
establish,persistence,,,,JHUHUGIT has registered a Windows shell script under the Registry key  UserInitMprLogonScript to establish persistence., T1037 
performs,persistence,,via adding Registry key logon script,,Zebrocy performs persistence via adding a Registry key with a logon script., T1037 
adding,Registry key logon script,,,,Zebrocy performs persistence via adding a Registry key with a logon script., T1037 
infecting,Security Accounts Manager DLL,load malicious DLL dropped disk,,,Pasam establishes by infecting the Security Accounts Manager   DLL to load a malicious DLL dropped to disk., T1177 
,,malicious DLL dropped disk,,,Pasam establishes by infecting the Security Accounts Manager   DLL to load a malicious DLL dropped to disk., T1177 
dropped,malicious DLL,,,,Pasam establishes by infecting the Security Accounts Manager   DLL to load a malicious DLL dropped to disk., T1177 
,,,,,Pasam establishes by infecting the Security Accounts Manager   DLL to load a malicious DLL dropped to disk., T1177 
drops,malicious file,,,,"Wingbird drops a malicious file   alongside a copy of lsass , which is used to register a service that loads sspisrv  as a driver.", T1177 
used,copy lsass,register service loads sspisrv driver,,,"Wingbird drops a malicious file   alongside a copy of lsass , which is used to register a service that loads sspisrv  as a driver.", T1177 
register,service loads sspisrv driver,,,,"Wingbird drops a malicious file   alongside a copy of lsass , which is used to register a service that loads sspisrv  as a driver.", T1177 
loads,sspisrv,,,,"Wingbird drops a malicious file   alongside a copy of lsass , which is used to register a service that loads sspisrv  as a driver.", T1177 
executed,The payload malicious driver,,,,The payload of the malicious driver   is executed when loaded by lsass  before the spoofed service becomes unstable and crashes., T1177 
,,,,,The payload of the malicious driver   is executed when loaded by lsass  before the spoofed service becomes unstable and crashes., T1177 
becomes,spoofed service,,,,The payload of the malicious driver   is executed when loaded by lsass  before the spoofed service becomes unstable and crashes., T1177 
perform,browser pivoting,"inherit cookies , authenticated HTTP sessions , client SSL certificates",,,"Cobalt Strike can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates.", T1185 
,,"inherit cookies , authenticated HTTP sessions , client SSL certificates",,,"Cobalt Strike can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates.", T1185 
authenticated,HTTP sessions,,,,"Cobalt Strike can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates.", T1185 
perform,browser attacks,"steal information credentials , certificates , cookies",via web injects,,"Dridex can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.", T1185 
steal,"information credentials , certificates , cookies",,,,"Dridex can perform browser attacks via web injects to steal information such as credentials, certificates, and cookies.", T1185 
uses,web injects browser redirection,trick user providing login credentials fake modified web page,,,TrickBot uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page., T1185 
trick,user,,,,TrickBot uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page., T1185 
providing,login credentials,,,,TrickBot uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page., T1185 
modified,web page,,,,TrickBot uses web injects and browser redirection to trick the user into providing their login credentials on a fake or modified web page., T1185 
injected,HTML codes,steal sensitive online banking information,,,Ursnif has injected HTML codes into banking sites to steal sensitive online banking information  ., T1185 
steal,Ursnif,,,,Ursnif has injected HTML codes into banking sites to steal sensitive online banking information  ., T1185 
used,following command,"rename one tools benign file nam ren "" directory",,,"admin@338 actors used the following command to rename one of their tools to a benign file nam  ren ""directory", T1036 
following,command,,,,"admin@338 actors used the following command to rename one of their tools to a benign file nam  ren ""directory", T1036 
rename,one tools,"benign file nam ren "" directory",,,"admin@338 actors used the following command to rename one of their tools to a benign file nam  ren ""directory", T1036 
used,APT1,,,,"The file name AcroRD32 , a legitimate process name for Adobe's Acrobat Reader, was used by APT1 as a name for malware.", T1036 
used,hidden non printing characters,"help masquerade file names system , appending Unicode break space character legitimate service name",,,"APT32 has used hidden or non-printing characters to help masquerade file names on a system, such as appending a Unicode no-break space character to a legitimate service name.", T1036 
help,masquerade file names system,,,,"APT32 has used hidden or non-printing characters to help masquerade file names on a system, such as appending a Unicode no-break space character to a legitimate service name.", T1036 
appending,Unicode break space character,legitimate service name,,,"APT32 has used hidden or non-printing characters to help masquerade file names on a system, such as appending a Unicode no-break space character to a legitimate service name.", T1036 
,,avoid detection,,,They have also used by moving and renaming pubprn  to a   file to avoid detection., T1036 
moving,pubprn,file,,,They have also used by moving and renaming pubprn  to a   file to avoid detection., T1036 
renaming,pubprn,file,,,They have also used by moving and renaming pubprn  to a   file to avoid detection., T1036 
avoid,detection,,,,They have also used by moving and renaming pubprn  to a   file to avoid detection., T1036 
renamed,NetCat binary,kb-10233,,,"Additionally, the group has renamed a NetCat binary to kb-10233  to masquerade as a Windows update.", T1036 
masquerade,Windows update,,,,"Additionally, the group has renamed a NetCat binary to kb-10233  to masquerade as a Windows update.", T1036 
attempted,masquerade files popular anti virus software,,,,APT41 attempted to masquerade their files as popular anti-virus software., T1036 
masquerade,files,,,,APT41 attempted to masquerade their files as popular anti-virus software., T1036 
attempts,BADNEWS,,,,BADNEWS attempts to hide its payloads using legitimate filenames., T1036 
hide,BADNEWS,,using legitimate filenames,,BADNEWS attempts to hide its payloads using legitimate filenames., T1036 
using,BADNEWS,,,,BADNEWS attempts to hide its payloads using legitimate filenames., T1036 
given,BRONZE BUTLER,,,,BRONZE BUTLER has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems., T1036 
existing,file,,,,BRONZE BUTLER has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems., T1036 
launch,malware,,unwittingly,,BRONZE BUTLER has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems., T1036 
install,malware,,unwittingly,,BRONZE BUTLER has given malware the same name as an existing file on the file share server to cause users to unwittingly launch and install the malware on additional systems., T1036 
shared,service,,,,"Carbanak malware names itself ""svchost ,"" which is the name of the Windows shared service host program.", T1036 
adds,new service named NetAdapter,apparent attempt masquerade legitimate service,,,Catchamas adds a new service named NetAdapter in an apparent attempt to masquerade as a legitimate service., T1036 
named,new service,,,,Catchamas adds a new service named NetAdapter in an apparent attempt to masquerade as a legitimate service., T1036 
masquerade,legitimate service,,,,Catchamas adds a new service named NetAdapter in an apparent attempt to masquerade as a legitimate service., T1036 
copies,ChChes,file filename likely intended imitate Norton Antivirus several letters reversed ( e.g.,,,ChChes copies itself to an   file with a filename that is likely intended to imitate Norton Antivirus but has several letters reversed (e.g., T1036 
intended,imitate Norton Antivirus,,,,ChChes copies itself to an   file with a filename that is likely intended to imitate Norton Antivirus but has several letters reversed (e.g., T1036 
imitate,Norton Antivirus,,,,ChChes copies itself to an   file with a filename that is likely intended to imitate Norton Antivirus but has several letters reversed (e.g., T1036 
reversed,several letters,,,,ChChes copies itself to an   file with a filename that is likely intended to imitate Norton Antivirus but has several letters reversed (e.g., T1036 
masqueraded,copy infected system 's rundll32 executable moved malware 's install directory renamed according predefined configuration file,,,,The CozyCar dropper has masqueraded a copy of the infected system's rundll32  executable that was moved to the malware's install directory and renamed according to a predefined configuration file., T1036 
,,,,,The CozyCar dropper has masqueraded a copy of the infected system's rundll32  executable that was moved to the malware's install directory and renamed according to a predefined configuration file., T1036 
moved,copy infected system 's rundll32 executable,malware 's install directory,,,The CozyCar dropper has masqueraded a copy of the infected system's rundll32  executable that was moved to the malware's install directory and renamed according to a predefined configuration file., T1036 
renamed,copy infected system 's rundll32 executable,,,,The CozyCar dropper has masqueraded a copy of the infected system's rundll32  executable that was moved to the malware's install directory and renamed according to a predefined configuration file., T1036 
,,,,,The CozyCar dropper has masqueraded a copy of the infected system's rundll32  executable that was moved to the malware's install directory and renamed according to a predefined configuration file., T1036 
dropped,DarkComet,apparent attempt masquerade legitimate,,,DarkComet has dropped itself onto victim machines with file names such as WinDefender.Exe and winupdate  in an apparent attempt to masquerade as legitimate., T1036 
,,,,,DarkComet has dropped itself onto victim machines with file names such as WinDefender.Exe and winupdate  in an apparent attempt to masquerade as legitimate., T1036 
masquerade,DarkComet,,,,DarkComet has dropped itself onto victim machines with file names such as WinDefender.Exe and winupdate  in an apparent attempt to masquerade as legitimate., T1036 
uses,Daserf,"order blend , HP , Intel , Adobe , perflogs",,,"Daserf uses file and folder names related to legitimate programs in order to blend in, such as HP, Intel, Adobe, and perflogs.", T1036 
related,file folder names,legitimate programs,,,"Daserf uses file and folder names related to legitimate programs in order to blend in, such as HP, Intel, Adobe, and perflogs.", T1036 
,,,,,"Daserf uses file and folder names related to legitimate programs in order to blend in, such as HP, Intel, Adobe, and perflogs.", T1036 
created,Dragonfly 2.0,,,,Dragonfly 2.0 created accounts disguised as legitimate backup and service accounts as well as an email administration account., T1036 
disguised,accounts,,,,Dragonfly 2.0 created accounts disguised as legitimate backup and service accounts as well as an email administration account., T1036 
installing,,,,,"If installing itself as a service fails, Elise instead writes itself as a file named svchost  saved in directory", T1036 
fails,installing service,,,,"If installing itself as a service fails, Elise instead writes itself as a file named svchost  saved in directory", T1036 
writes,Elise,,file named svchost saved directory,,"If installing itself as a service fails, Elise instead writes itself as a file named svchost  saved in directory", T1036 
named,file,,,,"If installing itself as a service fails, Elise instead writes itself as a file named svchost  saved in directory", T1036 
saved,file,,,,"If installing itself as a service fails, Elise instead writes itself as a file named svchost  saved in directory", T1036 
starts,Windows service named wsmprovav,apparent attempt masquerade legitimate service,,,The Exaramel for Windows dropper creates and starts a Windows service named wsmprovav with the description ?õ????Windows Check AV?õ???ù in an apparent attempt to masquerade as a legitimate service., T1036 
named,Windows service,,,,The Exaramel for Windows dropper creates and starts a Windows service named wsmprovav with the description ?õ????Windows Check AV?õ???ù in an apparent attempt to masquerade as a legitimate service., T1036 
,,,,,The Exaramel for Windows dropper creates and starts a Windows service named wsmprovav with the description ?õ????Windows Check AV?õ???ù in an apparent attempt to masquerade as a legitimate service., T1036 
masquerade,legitimate service,,,,The Exaramel for Windows dropper creates and starts a Windows service named wsmprovav with the description ?õ????Windows Check AV?õ???ù in an apparent attempt to masquerade as a legitimate service., T1036 
masqueraded,Felismus,,,,Felismus has masqueraded as legitimate Adobe Content Management System files., T1036 
,,,,,Felismus has masqueraded as legitimate Adobe Content Management System files., T1036 
renamed,""" psexec "" service name",""" mstdc """,,,"FIN6 has renamed the ""psexec"" service name to ""mstdc"" to masquerade as a legitimate Windows executable.", T1036 
,,,,,"FIN6 has renamed the ""psexec"" service name to ""mstdc"" to masquerade as a legitimate Windows executable.", T1036 
masquerade,legitimate Windows executable,,,,"FIN6 has renamed the ""psexec"" service name to ""mstdc"" to masquerade as a legitimate Windows executable.", T1036 
executable,Windows,,,,"FIN6 has renamed the ""psexec"" service name to ""mstdc"" to masquerade as a legitimate Windows executable.", T1036 
created,scheduled task named ?õ????AdobeFlashSync?õ???ù,establish persistence,,,FIN7 has created a scheduled task named ?õ????AdobeFlashSync?õ???ù to establish persistence., T1036 
scheduled,task,,,,FIN7 has created a scheduled task named ?õ????AdobeFlashSync?õ???ù to establish persistence., T1036 
named,scheduled task,,,,FIN7 has created a scheduled task named ?õ????AdobeFlashSync?õ???ù to establish persistence., T1036 
establish,persistence,,,,FIN7 has created a scheduled task named ?õ????AdobeFlashSync?õ???ù to establish persistence., T1036 
renames,FinFisher,uxtheme,,,FinFisher renames one of its   files to uxtheme  in an apparent attempt to masquerade as a legitimate file., T1036 
,,,,,FinFisher renames one of its   files to uxtheme  in an apparent attempt to masquerade as a legitimate file., T1036 
masquerade,FinFisher,,,,FinFisher renames one of its   files to uxtheme  in an apparent attempt to masquerade as a legitimate file., T1036 
masqueraded,trusted software rsyncd dbus inotifier,,,,Fysbis has masqueraded as trusted software rsyncd and dbus-inotifier., T1036 
trusted,software,,,,Fysbis has masqueraded as trusted software rsyncd and dbus-inotifier., T1036 
contains,malicious file named navlu decrypt run RAT,,,,HTTPBrowser's installer contains a malicious file named navlu  to decrypt and run the RAT., T1036 
named,malicious file,,,,HTTPBrowser's installer contains a malicious file named navlu  to decrypt and run the RAT., T1036 
decrypt,RAT,,,,HTTPBrowser's installer contains a malicious file named navlu  to decrypt and run the RAT., T1036 
run,RAT,,,,HTTPBrowser's installer contains a malicious file named navlu  to decrypt and run the RAT., T1036 
attempted,InnaputRAT variants,,"using file names SafeApp NeutralApp , well adding new service named OfficeUpdateService",,"InnaputRAT variants have attempted to appear legitimate by using the file names SafeApp  and NeutralApp , as well as by adding a new service named OfficeUpdateService.", T1036 
appear,legitimate,,,,"InnaputRAT variants have attempted to appear legitimate by using the file names SafeApp  and NeutralApp , as well as by adding a new service named OfficeUpdateService.", T1036 
using,file names SafeApp NeutralApp,,,,"InnaputRAT variants have attempted to appear legitimate by using the file names SafeApp  and NeutralApp , as well as by adding a new service named OfficeUpdateService.", T1036 
adding,new service named OfficeUpdateService,,,,"InnaputRAT variants have attempted to appear legitimate by using the file names SafeApp  and NeutralApp , as well as by adding a new service named OfficeUpdateService.", T1036 
named,new service,,,,"InnaputRAT variants have attempted to appear legitimate by using the file names SafeApp  and NeutralApp , as well as by adding a new service named OfficeUpdateService.", T1036 
saves,InvisiMole,,,,"InvisiMole saves one of its files as mpr  in the Windows folder, masquerading as a legitimate library file.", T1036 
masquerading,InvisiMole,,,,"InvisiMole saves one of its files as mpr  in the Windows folder, masquerading as a legitimate library file.", T1036 
used,Ixeshe,,,,"Ixeshe has used registry values and file names associated with Adobe software, such as AcroRd32 .", T1036 
associated,registry values file names,,,,"Ixeshe has used registry values and file names associated with Adobe software, such as AcroRd32 .", T1036 
used,right left override character,trick targets executing files,,,Ke3chang has used the right-to-left override character in spearphishing attachment names to trick targets into executing   and   files., T1036 
,,,,,Ke3chang has used the right-to-left override character in spearphishing attachment names to trick targets into executing   and   files., T1036 
spearphishing,attachment names,,,,Ke3chang has used the right-to-left override character in spearphishing attachment names to trick targets into executing   and   files., T1036 
trick,targets,,,,Ke3chang has used the right-to-left override character in spearphishing attachment names to trick targets into executing   and   files., T1036 
,,,,,Ke3chang has used the right-to-left override character in spearphishing attachment names to trick targets into executing   and   files., T1036 
creates,"shortcut called "" Anti virus service """,apparent attempt masquerade legitimate file,,,"KONNI creates a shortcut called ""Anti virus service "" in an apparent attempt to masquerade as a legitimate file.", T1036 
called,shortcut,,,,"KONNI creates a shortcut called ""Anti virus service "" in an apparent attempt to masquerade as a legitimate file.", T1036 
masquerade,legitimate file,,,,"KONNI creates a shortcut called ""Anti virus service "" in an apparent attempt to masquerade as a legitimate file.", T1036 
establishes,persistence,,"adding new service display name "" WMI Performance Adapter Extension "" attempt masquerade legitimate WMI service",,"Kwampirs establishes persistence by adding a new service with the display name ""WMI Performance Adapter Extension"" in an attempt to masquerade as a legitimate WMI service.", T1036 
adding,Kwampirs,attempt masquerade legitimate WMI service,,,"Kwampirs establishes persistence by adding a new service with the display name ""WMI Performance Adapter Extension"" in an attempt to masquerade as a legitimate WMI service.", T1036 
masquerade,legitimate WMI service,,,,"Kwampirs establishes persistence by adding a new service with the display name ""WMI Performance Adapter Extension"" in an attempt to masquerade as a legitimate WMI service.", T1036 
used,LightNeuron,,,,"LightNeuron has used filenames associated with Exchange and Outlook for binary and configuration files, such as winmail .", T1036 
associated,filenames,,,,"LightNeuron has used filenames associated with Exchange and Outlook for binary and configuration files, such as winmail .", T1036 
renamed,payloads task names,"masquerade legitimate Google Chrome , Java , Dropbox , Adobe Reader Python executables",,,"Machete renamed payloads and task names to masquerade as legitimate Google Chrome, Java, Dropbox, Adobe Reader and Python executables.", T1036 
masquerade,Machete,,,,"Machete renamed payloads and task names to masquerade as legitimate Google Chrome, Java, Dropbox, Adobe Reader and Python executables.", T1036 
seen,menuPass,,,,menuPass has been seen changing malicious files to appear legitimate., T1036 
changing,malicious files,appear legitimate,,,menuPass has been seen changing malicious files to appear legitimate., T1036 
appear,legitimate,,,,menuPass has been seen changing malicious files to appear legitimate., T1036 
renamed,certutil,,,,They have also renamed certutil and move it to a different location on system to avoid detection based on use of the tool., T1036 
move,They,different location system,,,They have also renamed certutil and move it to a different location on system to avoid detection based on use of the tool., T1036 
avoid,detection based use tool,,,,They have also renamed certutil and move it to a different location on system to avoid detection based on use of the tool., T1036 
based,detection,,,,They have also renamed certutil and move it to a different location on system to avoid detection based on use of the tool., T1036 
used,esentutl,change file extensions avoid detection,,,The group has also used esentutl to change file extensions to avoid detection., T1036 
change,file extensions,avoid detection,,,The group has also used esentutl to change file extensions to avoid detection., T1036 
avoid,detection,,,,The group has also used esentutl to change file extensions to avoid detection., T1036 
saves,Mis Type,,"file named msdtc , also name legitimate Microsoft Distributed Transaction Coordinator service",,"Mis-Type saves itself as a file named msdtc , which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.", T1036 
named,file,,,,"Mis-Type saves itself as a file named msdtc , which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.", T1036 
saves,Misdat,,,,"Misdat saves itself as a file named msdtc , which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.", T1036 
named,file,,,,"Misdat saves itself as a file named msdtc , which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.", T1036 
used,MuddyWater,,,,MuddyWater has used filenames and Registry key names associated with Windows Defender., T1036 
associated,filenames Registry key names,,,,MuddyWater has used filenames and Registry key names associated with Windows Defender., T1036 
stored,obfuscated JavaScript code,,,,The group has also stored obfuscated JavaScript code in an image file named temp ., T1036 
obfuscated,JavaScript code,,,,The group has also stored obfuscated JavaScript code in an image file named temp ., T1036 
named,image file,,,,The group has also stored obfuscated JavaScript code in an image file named temp ., T1036 
create,Nidiran,,,,"Nidiran can create a new service named msamger  , which mimics the legitimate Microsoft database by the same name.", T1036 
named,new service,,,,"Nidiran can create a new service named msamger  , which mimics the legitimate Microsoft database by the same name.", T1036 
mimics,new service named msamger,,,,"Nidiran can create a new service named msamger  , which mimics the legitimate Microsoft database by the same name.", T1036 
written,NOKKI,directory,,,NOKKI is written to directory, T1036 
drops,PsExec,,filename dllhost,,NotPetya drops PsExec with the filename dllhost ., T1036 
installs,OLDBAIT,,,,OLDBAIT installs itself in directory, T1036 
masquerade,Flash Player update,,,,OSX/Shlayer can masquerade as a Flash Player update., T1036 
uses,OwaAuth,,,,"OwaAuth uses the filename owaauth , which is a legitimate file that normally resides in directory", T1036 
resides,directory,,,,"OwaAuth uses the filename owaauth , which is a legitimate file that normally resides in directory", T1036 
installed,Patchwork,,,,"Patchwork installed its payload in the startup programs folder as ""Baidu Software Update.""", T1036 
folder,startup programs,,,,"Patchwork installed its payload in the startup programs folder as ""Baidu Software Update.""", T1036 
adds,The group,startup programs,,,"The group also adds its second stage payload to the startup programs as ?õ????Net Monitor.""", T1036 
renamed,rar,avoid detection,,,PLATINUM has renamed rar  to avoid detection., T1036 
avoid,detection,,,,PLATINUM has renamed rar  to avoid detection., T1036 
added,PlugX,,,,"In one instance, menuPass added PlugX as a service with a display name of ""Corel Writing Tools Utility.""", T1036 
spoof,anti virus processes,means self defense,,,Poseidon Group tools attempt to spoof anti-virus processes as a means of self-defense., T1036 
created,"scheduled task named "" MicrosoftEdge "" establish persistence",,,,"POWERSTATS has created a scheduled task named ""MicrosoftEdge"" to establish persistence.", T1036 
named,scheduled task,,,,"POWERSTATS has created a scheduled task named ""MicrosoftEdge"" to establish persistence.", T1036 
establish,persistence,,,,"POWERSTATS has created a scheduled task named ""MicrosoftEdge"" to establish persistence.", T1036 
used,PowerShell filenames Office365DCOMCheck.ps1 SystemDiskClean.ps1,,,,QUADAGENT used the PowerShell filenames Office365DCOMCheck.ps1 and SystemDiskClean.ps1., T1036 
dropped,binaries,,,,QuasarRAT has dropped binaries as files named microsoft_network  and crome ., T1036 
named,files,,,,QuasarRAT has dropped binaries as files named microsoft_network  and crome ., T1036 
created,New services,,,,"New services created by RawPOS are made to appear like legitimate Windows services, with names such as ""Windows Management Help Service"", ""Microsoft Support"", and ""Windows Advanced Task Manager"".", T1036 
made,"appear like legitimate Windows services , names "" Windows Management Help Service "" , "" Microsoft Support "" , "" Windows Advanced Task Manager """,,,,"New services created by RawPOS are made to appear like legitimate Windows services, with names such as ""Windows Management Help Service"", ""Microsoft Support"", and ""Windows Advanced Task Manager"".", T1036 
,,,,,"New services created by RawPOS are made to appear like legitimate Windows services, with names such as ""Windows Management Help Service"", ""Microsoft Support"", and ""Windows Advanced Task Manager"".", T1036 
implements,The Remsec loader,,"name Security Support Provider , legitimate Windows function",,"The Remsec loader implements itself with the name Security Support Provider, a legitimate Windows function.", T1036 
mimic,Various Remsec files,,,,"Various Remsec   files mimic legitimate file names used by Microsoft, Symantec, Kaspersky, Hewlett-Packard, and VMWare.", T1036 
used,"Microsoft , Symantec , Kaspersky , Hewlett Packard , VMWare",,,,"Various Remsec   files mimic legitimate file names used by Microsoft, Symantec, Kaspersky, Hewlett-Packard, and VMWare.", T1036 
disguised,malicious modules,,using similar filenames custom network encryption software victims,,Remsec also disguised malicious modules using similar filenames as custom network encryption software on victims., T1036 
using,similar filenames,,,,Remsec also disguised malicious modules using similar filenames as custom network encryption software on victims., T1036 
,,,,,"S-Type may save itself as a file named msdtc , which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.", T1036 
save,S Type,,"file named msdtc , also name legitimate Microsoft Distributed Transaction Coordinator service",,"S-Type may save itself as a file named msdtc , which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.", T1036 
named,file,,,,"S-Type may save itself as a file named msdtc , which is also the name of the legitimate Microsoft Distributed Transaction Coordinator service.", T1036 
used,left right override character,,,,Scarlet Mimic has used the left-to-right override character in self-extracting RAR archive spearphishing attachment file names., T1036 
,,,,,Scarlet Mimic has used the left-to-right override character in self-extracting RAR archive spearphishing attachment file names., T1036 
extracting,self,,,,Scarlet Mimic has used the left-to-right override character in self-extracting RAR archive spearphishing attachment file names., T1036 
spearphishing,attachment file names,,,,Scarlet Mimic has used the left-to-right override character in self-extracting RAR archive spearphishing attachment file names., T1036 
masqueraded,Seasalt,apparent attempt masquerade legitimate service,,,"Seasalt has masqueraded as a service called ""SaSaut"" with a display name of ""System Authorization Service"" in an apparent attempt to masquerade as a legitimate service.", T1036 
called,service,,,,"Seasalt has masqueraded as a service called ""SaSaut"" with a display name of ""System Authorization Service"" in an apparent attempt to masquerade as a legitimate service.", T1036 
masquerade,Seasalt,,,,"Seasalt has masqueraded as a service called ""SaSaut"" with a display name of ""System Authorization Service"" in an apparent attempt to masquerade as a legitimate service.", T1036 
creates,Shamoon,,,,Shamoon creates a new service named ?õ????ntssrv?õ???ù that attempts to appear legitimate; the service's display name is ?õ????Microsoft Network Realtime Inspection Service?õ???ù and its description is ?õ????Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.?õ???ù, T1036 
named,new service,,,,Shamoon creates a new service named ?õ????ntssrv?õ???ù that attempts to appear legitimate; the service's display name is ?õ????Microsoft Network Realtime Inspection Service?õ???ù and its description is ?õ????Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.?õ???ù, T1036 
attempts,new service named ?õ????ntssrv?õ???ù,,,,Shamoon creates a new service named ?õ????ntssrv?õ???ù that attempts to appear legitimate; the service's display name is ?õ????Microsoft Network Realtime Inspection Service?õ???ù and its description is ?õ????Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.?õ???ù, T1036 
appear,legitimate,,,,Shamoon creates a new service named ?õ????ntssrv?õ???ù that attempts to appear legitimate; the service's display name is ?õ????Microsoft Network Realtime Inspection Service?õ???ù and its description is ?õ????Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.?õ???ù, T1036 
targeting,time change attempts,,,,Shamoon creates a new service named ?õ????ntssrv?õ???ù that attempts to appear legitimate; the service's display name is ?õ????Microsoft Network Realtime Inspection Service?õ???ù and its description is ?õ????Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.?õ???ù, T1036 
known,vulnerabilities,,,,Shamoon creates a new service named ?õ????ntssrv?õ???ù that attempts to appear legitimate; the service's display name is ?õ????Microsoft Network Realtime Inspection Service?õ???ù and its description is ?õ????Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.?õ???ù, T1036 
discovered,vulnerabilities,,,,Shamoon creates a new service named ?õ????ntssrv?õ???ù that attempts to appear legitimate; the service's display name is ?õ????Microsoft Network Realtime Inspection Service?õ???ù and its description is ?õ????Helps guard against time change attempts targeting known and newly discovered vulnerabilities in network time protocols.?õ???ù, T1036 
used,renamed cmd file,evade detection,,,Soft Cell used a renamed cmd  file to evade detection., T1036 
evade,detection,,,,Soft Cell used a renamed cmd  file to evade detection., T1036 
named,Sowbug,"masquerade Windows Adobe Reader software , using file name adobecms directory security",,,"Sowbug named its tools to masquerade as Windows or Adobe Reader software, such as by using the file name adobecms  and the directory  security.", T1036 
masquerade,Windows Adobe Reader software,,tools,,"Sowbug named its tools to masquerade as Windows or Adobe Reader software, such as by using the file name adobecms  and the directory  security.", T1036 
using,file name adobecms directory security,,,,"Sowbug named its tools to masquerade as Windows or Adobe Reader software, such as by using the file name adobecms  and the directory  security.", T1036 
,,,,,"Sowbug named its tools to masquerade as Windows or Adobe Reader software, such as by using the file name adobecms  and the directory  security.", T1036 
establish,persistence,,,,"To establish persistence, SslMM identifies the Start Menu Startup directory and drops a link to its own executable disguised as an ?õ????Office Start,?õ???ù ?õ????Yahoo Talk,?õ???ù ?õ????MSN Gaming Z0ne,?õ???ù or ?õ????MSN Talk?õ???ù shortcut.", T1036 
identifies,Start Menu Startup directory,To establish persistence,,,"To establish persistence, SslMM identifies the Start Menu Startup directory and drops a link to its own executable disguised as an ?õ????Office Start,?õ???ù ?õ????Yahoo Talk,?õ???ù ?õ????MSN Gaming Z0ne,?õ???ù or ?õ????MSN Talk?õ???ù shortcut.", T1036 
drops,SslMM,To establish persistence,,,"To establish persistence, SslMM identifies the Start Menu Startup directory and drops a link to its own executable disguised as an ?õ????Office Start,?õ???ù ?õ????Yahoo Talk,?õ???ù ?õ????MSN Gaming Z0ne,?õ???ù or ?õ????MSN Talk?õ???ù shortcut.", T1036 
